author,description,pubdate,sentiment
@ryanbaskara9560,jir kirain starlink   starbucks kelilink ,5/28/2024 23:33,negative
@Poerto,SiapÂ² Indihome dan TelkomðŸ˜ˆðŸ˜ˆ,5/28/2024 23:23,neutral
@cikukcikukukchenel8887,unboxing mas HP opo a 60 tahan banting,5/28/2024 23:17,positive
@MP_Property,semoga indonesia bisa buat juga biar bisa cuma bayar 100k per bulanðŸ˜… dengan spek sama,5/28/2024 23:07,neutral
@agungprastowo1708,gaada yg bahas powerbanknya kah?,5/28/2024 22:41,negative
@SenoMizwar,Starlink di taro tanah anjirrrðŸ˜‚,5/28/2024 22:08,neutral
@rianjayaekasaputra,"Jadi keinget sm boss darling101, trs tim fe yg cb riset teknologi ini trs meninggal tragis",5/28/2024 21:57,negative
@nyektijoe4590,"yang diplosok,atas gunung,tengah hutan,dipadang gurun pasir pake ini joss",5/28/2024 21:50,positive
@ev_r13,Indihome pun bangkrut liat iniðŸ˜‚,5/28/2024 21:41,negative
@mencarikeadilan8566,Serba di banting ya bangðŸ¤£ðŸ¤£ðŸ¤£,5/28/2024 21:37,negative
@Blacklist78,Otw transisi nih hahahaha,5/28/2024 21:07,neutral
@alfaqih2182,Provider bisa kah up ke satelit,5/28/2024 20:17,neutral
@Frengkyy_,Jangkauan koneksinya seberapa jauh bang?,5/28/2024 20:14,negative
@rudys138,wah.. saham saham internet provider bakal hancur belur ini ðŸ˜‚,5/28/2024 20:07,negative
@shadowkai1087,penasaran powerbanknya apa itu..?,5/28/2024 19:40,neutral
@veriveri5442,Bang udah ada blum ya toko yg jual Starlink Standar Kit Tersebut.?? Soal nya saya coba beli di website Starlink Susah bener karna harus pake Kartu Kredit,5/28/2024 19:12,neutral
@cloudgaming2680,ping 50 buat competitive fps game kayaknya susah,5/28/2024 19:05,negative
@arka672,Persentase Di maling 100%,5/28/2024 18:36,negative
@donnyl2756,Bang bahas Oppo Reno 12,5/28/2024 18:29,neutral
@itikpler7398,Aduh harus beli paket lgi mahal pula,5/28/2024 17:01,negative
@Engineer0123,Coba dipakai pas hujan deras bang,5/28/2024 16:56,neutral
@fundtrade,"Kalau aku beli ini, trus pake di kapal ketika lagi liburan, bisa di pakai di tengah laut ga bang ? Atau paketnya beda lagi ?",5/28/2024 16:01,neutral
@RitsUniverse,"Kalau kena hujan atau panas berlebih, apakah masih oke ? Atau harus di cover yaa",5/28/2024 15:49,neutral
@raharjowaluyo1242,"Kita ingin maju walau kita tdk suka politik US ,klo saya iya tidak suka pengaruh politik tp saya suka teknologinya amerika ,kemajuan media sosial bisa kita tdk bisa menjauh walau itu punya sono barat ,kita jga makai tdk mungkin kita jauhi tetap kita pakai terus Youtube, google,Map GPS, Whatsapp,Tellegram ,Facebook ..Chat massager,X/Twitter,IG,Yahoo,Gmail,Chrome,Playstore Browser,Opera ,Apple ios, Android,AI dll,Kable Fiber optik,Satelit Komunikasi Internet ,semua teknologi dari barat Kita tdk suka politiknya tapi suka teknologi yg kita pakai setiap hari tdk ad kata speoniss semua terbuka..mau bilang ap? Biar Starlink masuk untuk memastikan kinerja telkom bisa memperbaiki diri.. konsumen bisa pilih kita sih bebas tidak pandang produk Amerika dan China kita pakai semua selagi itu sangat bermanfaat kita ttap pakai.. Salam cinta teknologi dan kemajuan peradapan zaman..",5/28/2024 15:34,positive
@j.free7351,bahaya akan petir apa nggak om?,5/28/2024 15:29,negative
@cahayaseni917,Kena air aman kah itu?,5/28/2024 15:12,negative
@soemarnoremixs5978,FREE PALESTINE ðŸ‡µðŸ‡¸,5/28/2024 15:09,neutral
@noblesseobelige9192,Maksimal bisa pake utk brp divice ya ?,5/28/2024 14:52,neutral
@banxbara1,Insya besok mbok yem mesti beli ini ðŸ‘,5/28/2024 14:07,negative
@yohimbe2673,Ga sesuai kebutuhan,5/28/2024 13:58,negative
@sanali7340,Itu bisa buat pake brpa orang?,5/28/2024 13:46,neutral
@dedeganda5858,Masih nunggu bang Ilon jualan simcard Jadi bisa langgung di pakai di HP dan dapet sinyal satelitðŸ˜®ðŸ˜®,5/28/2024 13:31,neutral
@MunawirMuna-jx9jd,Itu bang bisa pakai berapa hp,5/28/2024 13:28,neutral
@isman7821,bagus nih..bisa bersih kabel2 provider wifi didepan rumah yang setiap hari nambah udah kayak nyampah,5/28/2024 13:03,positive
@nevermind-mp5di,mantap,5/28/2024 13:00,positive
@PendiPW,"bg, WIFI nya bisa berapa perangkat bg?",5/28/2024 12:49,neutral
@Asang999-km4jz,Mirip kartu byru thn 1997 ðŸ˜Š,5/28/2024 12:41,neutral
@ucupucup4445,"Saya kerja di kapal bang, di laut hampir setiap hari dan selalu isi muatan minyak cpo itu di hutan, nah kalau kapal jalan kan apa bisa tetap dapat internet ? Atau khusus diam di tempat aja itu starlink",5/28/2024 12:38,negative
@gameplay-id,"Untuk riset dan nerbangin ribuan satelit itu butuh dana besar, ketika sekarang harga di obral apakah tujuannya hanya bisnis, dan masuk pasar yang notabene termasuk negara yang sebagian masyarakat menjalankan gerakan boikot pihak yang support Israel, dengan awal niat investasi yang di batalkan ujungnya numpang jualan saja kemudian karena sistemnya satelit sifat kontrolnya terpusan oleh dia karena kebanyakan negara belum bisa menindak satelit yang mengambil rute di area teritorial negaranya",5/28/2024 12:36,negative
@musliminmuhdir6879,Sudah anti petir?,5/28/2024 12:23,positive
@DestraAmni,Kreen,5/28/2024 12:16,positive
@BOGANCHANNEL,"Suara nya ngeselin , tiap iklan suaranya mirip bocah ini",5/28/2024 11:50,negative
@teguhprasetyo1980,Andai ada yg 150 ribu perbulan.. ðŸ˜‚,5/28/2024 11:48,neutral
@avadakedavra4977,Semoga tetangga saya segera membeli. Amiiin...,5/28/2024 11:33,positive
@Jawabarat77Variasi,Perbulan beli berapa tu paket nya,5/28/2024 11:15,neutral
@KSEW20522,"Tmn"" jawab ya: Klo dijadikan bisnis dikampung bisa nggak tmn""? Jawab yaa tmn""mksh",5/28/2024 11:14,neutral
@yogineowrx,"Lokal berbau ketar ketir nih, udah mahal biaya langganan plus jaringannya lemot, bakalan jd musuh buat provider lokal wkwkwk,",5/28/2024 11:01,negative
@jatur8944,Ini teknologi lama white Alice,5/28/2024 10:58,negative
@fauztralexzen9725,"Mau bilang gileee sih makin cangggih aja, moga bisa kebeli. Amiiiiinnnn",5/28/2024 10:55,positive
@smpn1padalarang399,"Bang masalahnya tambah satu, listrik, coba kalo listriknya juga pake solar panel",5/28/2024 10:50,neutral
@Junickoas,Gw baru beli karena rumah gw tempat terpencil semoga pas ðŸ˜Š,5/28/2024 10:46,neutral
@fian_7907,Telkom ketar ketir ini kwkwkwkw,5/28/2024 10:36,negative
@Achdanfawazi,Tamparan keras untuk TELKOMSEL biar g leha leha,5/28/2024 10:30,negative
@fian_7907,Njir baru aja gue trimah ini barang msuk Dikantor tmpt kerja gue,5/28/2024 10:26,neutral
@bobyandrean9568,Pt pelni harus pake inovasi ini. Biar klo d Tengah laut Bisa nonton gadgetln,5/28/2024 10:06,neutral
@mangroupofficial2902,Mantappp,5/28/2024 10:06,positive
@Yandiimul_,Seketika inget Bolt dulu kalo kaya gini ðŸ˜… Apakah bertahan lama ya starlink ini?,5/28/2024 10:03,neutral
@zailaniani3572,Wagh Mantap bisa Live Mancing di Tengah Laut,5/28/2024 9:54,positive
@yusufmalikulm,"Kalau untuk kota kurang cocok. Ada kabel fiber yang lebih kenceng dan murah. Kalau untuk tempat terpencil cocok nih. Apalagi pekerja remote, harga dan biaya starlink bukan jadi masalah. Bayangin aja bisa kerja di pulau idaman dengan internet kenceng.",5/28/2024 9:53,positive
@nyts9099,Made in China ga bang alatnya? ðŸ˜‚,5/28/2024 9:38,neutral
@budichahyono7371,"manntap , bang..",5/28/2024 9:37,negative
@taufikekosusilo5105,Goodbye indihouse dan rekan2nya.,5/28/2024 9:32,positive
@Tiger_fighter86,Muncul nya starlink banyak oknum yang membajak untuk di ilegal kan RT RW net,5/28/2024 9:14,negative
@Ar1ev,kalo ada ujan atau petir gitu aman ga yah ??,5/28/2024 8:55,positive
@nigedonk,Taruh dalam rumah bisa Ka?,5/28/2024 8:45,neutral
@miftakhulhuda772,"Asal anda tau, di sawah sinyal malah lebih kencang",5/28/2024 8:40,positive
@yosefd1308,"Hebat sih Starlink, tapi mungkin masih harus di test keawetan alatnya jika digunakan di lokasi yang listriknya sering byarpet . Karena biasanya di lokasi terpencil walau ada listrik terkadang arusnya kurang stabil mati hidup..mati hidup, sering merusak peralatan yang menggunakan listrik. Durabilitas alatnya yang masih harus diuji, otherwise opsi starlink ini bagus banget buat daerah terpencil yang susah dapat akses internet yang mumpuni.",5/28/2024 8:38,positive
@febriantopagiling6727,cocok sih ini bang daerah pedalaman salam bang dari papua pegunungan tolikara,5/28/2024 8:36,positive
@Tater____,"langsung viral ini, tinggal tunggu penghargaan dari elon musk",5/28/2024 8:34,neutral
@Dentaexe,Kekurangannya lumayan berat juga ya harga segitu up down nya gak 1:1 dan ping nya tadi 49 wkwkwk apalagi kalo ada hujan  anginya lagi kenceng dan kalo ada kendala di lokasi harus benerin sendiri wkwk,5/28/2024 8:26,positive
@lutfiarifin8545,Di atas Telkomsel ada StarlinkðŸ˜‚,5/28/2024 8:08,neutral
@surinnakun,Pengen pasang gini takut di angkut maling,5/28/2024 7:56,negative
@hasbikausar8366,yok mendikbud kudu kolaborasi ke semua jenjang pendidikan di seluruh pelosok negeri agar bisa terkoneksi internet,5/28/2024 7:24,neutral
@sinyonakano4974,Kira2 perbulanyan bayar berapa yah?,5/28/2024 7:13,neutral
@danielmuhammadmulia5548,"tapi harga nya msh mahal, beda dgn wifi",5/28/2024 7:10,negative
@hashimmus3117,Maksimal bisa connect berapa device,5/28/2024 6:59,neutral
@user-ut5qn8hx7g,David: Siapa yang ga apresiasi internet kenceng? Bapak Anu: Internet kenceng buat apa?,5/28/2024 6:55,negative
@averill_lowell,"Sudah cobain di hutan, lancar banget asal : - ada listrik - langit cerah - paket kuota nya",5/28/2024 6:49,positive
@RicoHexada,Bang udah ada percobaan pakai di apartmen ga ya ? Pasang di balcony gt ? Apakah bisa ?,5/28/2024 6:45,neutral
@kocak93,Setelah beli bayar bulanan nya berapa ?,5/28/2024 6:31,neutral
@restuilhamiafrieza8244,Kelemahan nya buat yang daerah nya suka matlis,5/28/2024 6:27,negative
@ridlobaguslaksono1446,kalau gak dibayar sekali yang 750 ribu bulan depan lagi masih bisa dipakai apa tidak kak,5/28/2024 6:17,neutral
@ridlobaguslaksono1446,kak kalau beli paket 750 ribu bulan juni terus bulan juli gak di bayar apa yang terjadi pada starlinknya,5/28/2024 6:09,neutral
@boskerntv4308,Saya orang wakatobi bang,5/28/2024 6:03,neutral
@evhan1000,info cara bayar langganannya?,5/28/2024 5:58,neutral
@user-tt5wy8kr5p,Belinya dmna bang,5/28/2024 5:52,neutral
@i4mchristi4n,Betul Jon di pulau OBI tidak ada jaringan tidak masalah dengan adanya Starlink ðŸŽ‰ðŸŽ‰ðŸŽ‰,5/28/2024 5:47,positive
@darusbintang9419,Ohh aku baru tau isi Tik tok nya bang David kek gituan ðŸ¤£ðŸ¤£ðŸ¤£,5/28/2024 5:38,negative
@Trdenew,"Bakalan keren  bantu banget utk daerah pesisir, hutan, pedalaman",5/28/2024 5:20,positive
@4pk-csgo735,Kok bisaa EXPLORE IG nya ga ada yg joged2 seksiiii sihhhhhh ðŸ¤£ðŸ¤£ðŸ¤£,5/28/2024 5:18,negative
@ylaw2092,"Wah praktis ni mah, pingin punya juga soalnya di kampung susah internet",5/28/2024 5:16,positive
@martindjong,TelkomSAT ðŸ˜‚,5/28/2024 5:06,neutral
@m.tedysyahputra7404,internet cepat buat apa ðŸ—¿,5/28/2024 5:05,negative
@15idamkarima18,"""Internet kencang buat apa â˜ðŸ¤“""",5/28/2024 4:59,negative
@nelsonguterres5010,Kaka starlink apakah bisa mengunakan di negara timor-leste,5/28/2024 4:54,neutral
@tanimbartawa8687,750k itu unlimited ya kak,5/28/2024 4:47,neutral
@expertcraft3680,Bang tu kalo misal starlinknya di jakarta kita ke jawa tengah masih nyambung ga?,5/28/2024 4:35,neutral
@rgreview922,"Itulah bolo guna nya otak, kalau bukan orang pintar, jenius tidak mungkin bisa bikin alat seperti ini, yg berguna dan menghasilkan uang. Maka nya, serius lah kalau sekolah.",5/28/2024 4:27,positive
@itsmekalvin8753,"Katanya starlink, kok dari awal sampe akhir ga ada kopinya bang?",5/28/2024 4:26,negative
@amandanabilar.a.333,Bro Provider ID berpikir dia adalah MCðŸ˜‚. Elon Musk: ðŸ˜Ž,5/28/2024 4:26,neutral
@mohammadeffendy8241,"BTW, biaya langgananya berapa choy ...",5/28/2024 4:21,neutral
@NoerRohimSuprianto,"Mau beli alatnya tapi ini negara konoha, udah diborong sama calo calo dijual harga ga wajar wkwkwk",5/28/2024 4:21,negative
@alangyt,"Sampai saat ini saya belum nemu video yang membahas, BERAPA DEVICE YNG BISA DI TAMPUNG YAðŸ˜…",5/28/2024 4:14,neutral
@fadhila3604,Kira kira bisa dipakai berapa device ya bang? Saya minat banget nih buat di sekolah tempat saya ngajar karna sinyal disini masih susahðŸ¥¹,5/28/2024 4:12,neutral
@denbagz3607,750rb itu perbulan apa sekali beli bang?,5/28/2024 4:12,neutral
@gabutlucuanehshortganteng,Tetap aja fiber optik masih yg terbaik.. Ini cocok. Buat yg tidak tercover fiber optik,5/28/2024 4:11,positive
@anibong8286,wah saham TLKM bisa terjun nih ,5/28/2024 3:38,positive
@KaryaBaru-zt3br,cek jangkauannya bang,5/28/2024 3:37,neutral
@user-uz9kq4nm5l,cba tes di tempat yg bener2 ga ada towernya bng,5/28/2024 3:37,neutral
@Riyu_Ken,ini 750k/bulan atau unlimited?,5/28/2024 3:32,neutral
@astaprasetya6137,"Wah cocok ini mudah2an bisa segera beli, di daerah sy jateng udh 5x ngajuin buat indigo selalu direject dengan alasan odp box nya berjarak lebih dari 250 meter,",5/28/2024 3:31,positive
@manusiaBaja,"AGRES Id tidak responsif, sudah tranfer untuk DP Untuk PO Belum ada balasannya.",5/28/2024 3:30,negative
@Unknown8938,SNI ga??,5/28/2024 3:25,negative
@Masiwan,Apakah data kita aman?,5/28/2024 3:22,neutral
@fahmiarifnurcahyanto_sdn012,Nanti bakalan ada yang portable kek hape sekarang gede banget haha,5/28/2024 3:01,positive
@fahmiarifnurcahyanto_sdn012,Coba liat deh penjelasan Om Ono Purbo,5/28/2024 3:00,neutral
@andrekoto0948,Platform Indomie sebagai monopoli di Indonesia harus intropeksi juga ada pendatang baru masuk ðŸ˜‚,5/28/2024 2:55,neutral
@MsiCyborg,Kalau hujan sinyalnya gimana bg ?,5/28/2024 2:40,negative
@NasirunAbbas-cx4iy,Kurang cocok di IKN bila SDH rimbun pohonnya ðŸ˜„ðŸ˜„ðŸ˜„,5/28/2024 2:36,negative
@riamegawati876,gilaaa,5/28/2024 2:35,positive
@nocturnalboy3474,"Baguslah, Telkomsel / indihome jual mahal dan berbelit, tapi laporan masih rugi . yasudah tutup aja kita masyarakat indonesia pake starlink aja , biar gak jadi kambing hitam penyebab kerugian telkom dan bumn lain",5/28/2024 2:32,negative
@bimosunyo,cocok buat naruh di gunung biar bisa shareloct jadi sedikit lebih aman,5/28/2024 2:24,positive
@TilikumMolly,"Bagi saya yg tinggal dipegunungan, adanya starlink adalah pengganti akibat tidak hadirnya negara dalam layanan internet. Ini soal keadilan bagi yg sudah puluhan tahun tak mendapatkan layanan yg sangat vital untuk bersaing di dunia yg sudah terbuka. Lagi pula, penduduk terbanyak di negeri ini berstatus sebagai konsumen, bukan yg berstatus sebagai pengusaha yg tidak mencapai 5% dari total penduduk. Prioritas perlindungan harusnya diberikan kepada yg mayoritas ini, bukan ke gajah2 yg sudah super gendut. Plus TLKM kan sudah mendapatkan angka penjualan sampe ratusan triliun tiap tahunnya. Dari catatan tahun lalu saja, sepanjang 2023, TLKM membukukan pendapatan konsolidasian sebesar Rp 149,2 triliun. Masa masih kurang juga? Dan jangan salah, melindungi TLKM secara berlebihan, sama dengan melindungi Singapura secara berlebihan, karena Singapura menjadi salah satu pemegang saham terbesar di TLKM.",5/28/2024 2:19,negative
@tiojumadil5695,Ditunggu bg lu naik gunung coba starlink,5/28/2024 2:19,neutral
@tiojumadil5695,Kapan lagi liat lu naik gunung,5/28/2024 2:20,negative
@sinarajifadli3294,Ga ada biaya bulanan ?,5/28/2024 2:16,negative
@psbiouinril2923,beli power bank dimana bang?,5/28/2024 2:13,neutral
@gamingsantai1125,"Alhamdulillah bulan 6 kabupaten kami semua instansi pakai STARLINK, krn indihome sangat sulit di hubungi saat ada masalah. Dan banyak masyarakat di sini mau pasang indihome dari tahun lalu sampai skrg petugasnya gk pernah muncul, pdhl tiangnya ada di dekat sini. Untung ada starlink, kami semua siap beralih... â¤â¤",5/28/2024 2:08,positive
@laluanggar3200,Klo boleh tau kabupaten mana bang?,5/28/2024 20:02,neutral
@alexjonathanjonathan385,"kadang indihome emng gitu suka ada masalah, dlu aja saya ancem saya mau putus2sin kabel orang lain biar mereka dateng dan akhirnya dateng",5/28/2024 21:57,negative
@cellviciy33s96,"Jarak jangkauan berapa meter darii parabola star link. Wifi rumah kan ada batas jarak. Mau pasang di kebun sawit luas 30 hektare, utk pasang kamera",5/28/2024 1:52,neutral
@HarryAbdilla,"Mantap, thanks review nya Bang",5/28/2024 1:52,positive
@rendytubagus4825,"Coba di Pulau Masalembu Jangankan jaringan, listrik pun masih dijadwal.",5/28/2024 1:24,neutral
@martuaps1964,"Gegap gempita sih boleh2 aja tapi kita hrs tetap pintar spy jgn terjebak, rekans klo tdk salah starlink sdh operate sejak 2019 (hampir 5 thn) tapi silahkan cek jlh pelanggan aktifnya sd hari ini sdh brp ? (ada info yg sebut baru 1 jutaan di seluruh dunia)... apkh ini bisa terkategori revolusioner ? Menurutku sih ini produk belum masuk kategori disruptive... mari pintar seblm membeli ðŸ™",5/28/2024 1:22,negative
@fathifathialbinsaid5353,"Ini kalo hujan atau mendung ada kemungkinan sinyal drop nih, karna pemancar sinyal tertutup awan",5/28/2024 1:14,negative
@iyanvlog5027,Pasang di mobil ah ...,5/28/2024 1:12,negative
@ekasafitri6208,GK penasaran bongkar isinya bang?,5/28/2024 1:11,negative
@nurulfatchurochman8962,menit 7-8 keren se,5/28/2024 1:08,positive
@yudha5110,incaran baru maling,5/28/2024 1:07,negative
@AgFBI32a,Klo pas byk petir tu bakal kena samber ngga,5/28/2024 1:06,neutral
@ketutwidi5537,kerja remote dan rencana menua dikampung halaman jadi semakin realistis ni wkwk,5/28/2024 0:57,positive
@lioparura4638,Gak bisa di sewakan ya kayak wifi indihome ?,5/28/2024 0:52,negative
@jumart5602,Bagus buat ilangin kabel-kabel yang semrawut,5/28/2024 0:50,positive
@mremonx7347,Perbulan brapa bayarnya bang?,5/28/2024 0:47,negative
@metalmetal8383,"Tdk bisa di banding dengan layanan yg sudah ada. Starlink lebih murah dan cepat. Bebas biaya embel"" .",5/28/2024 0:41,positive
@abdulsaprisagala9418,Kirain bisa main mobile legend 5 ms,5/28/2024 0:41,neutral
@metalmetal8383,"Mantap bang promosikan terus biar banyak yang pake starlink. Murah kepatan tinggi, trusss",5/28/2024 0:38,positive
@darksmile6567,"bang, starlink itu bisa tahan dari petir ga bang..?",5/28/2024 0:38,neutral
@ahmadlambok1514,Harga awal 8 samape 9 jt. Blum bulana.ðŸ¤¦,5/28/2024 0:31,neutral
@digigit,boong... klo ga ada listrik ya ga bisa nyala.. tetep butuh listrik. dan klo kabel listrik ada kabel FO pasti juga bisa ada,5/28/2024 0:20,neutral
@bikhairaaswadi1167,Berarti tetap yg utama sumber Listrik..,5/28/2024 0:19,neutral
@jarurn_7326,"""Internet cepat buat apa?""",5/28/2024 0:11,negative
@TaniaLikayatmi,bisa dipakai berapa device yah ini ?,5/28/2024 0:03,neutral
@awalpratama186,Udah ada yg review di hutan kalimantan gk sih ?,5/27/2024 23:57,neutral
@admin9964,"Tingkat Kualitas Link, Pertama kabel FO, Kedua Via Radio dan Ketiga Vsat/Satelit ( Starlink atau lainya ), karena kualitas Vsat tergantung lokasi, jika banyak Pohon, gedung2 tinggi, Vsat kurang direkomendasikan, karena akan terhalang dan mempengaruhi kualitas sinyal dan Vsat Kalau Hujan kualitas sinya menurun",5/27/2024 23:48,negative
@eliaszega6575,Ngakak 21:54 ðŸ˜‚,5/27/2024 23:42,negative
@elshaarawy6670,mahal banget paketnya ya,5/27/2024 23:40,negative
@irawanfery3865,KAlau BAdai Hujan Mendung angin Kecang Gmana tu jadinya,5/27/2024 23:36,negative
@recarec,"buat provider manapun selama ada kata kata UP TO maka kalo internet lambat tetep gak salah ðŸ˜‚ , lahir lah starlink",5/27/2024 23:31,neutral
@masykursani13,Gsm garuk kepala nih,5/27/2024 23:17,negative
@fazlyofficial8236,Anti hujan kah bang?,5/27/2024 23:05,positive
@sakafathi,kalau gak ada colokan listrik gimana? di hutan gak ada listrik,5/27/2024 23:02,negative
@bimo7008,Coba tes bawa ke atas gunung dengan kondisi cuaca buruk/badai ðŸ˜‚,5/27/2024 22:57,neutral
@AlditekimSkate,"Mau tanya. Setup awal tetap perlu sinyal dong? Kan harus download aplikasi dan scan langit. Jadi buat di tempat yang gada tower atau sinyal hp harus gimana tuh? Selesaikan setup di kota dulu, terus baru bawa misal ke gunung atau hutan, gitu? Sama buat beli dan daftar paket kan juga butuh koneksi dulu.",5/27/2024 22:53,neutral
@syaharanichan,ini udah ada di film hunter x hunter pas pertama nonton ðŸ˜‚,5/27/2024 22:53,neutral
@alstars.9200,Starbucks keliling âŒ satelit keliling âœ”ï¸,5/27/2024 22:50,neutral
@Ezawidhy,Yang jadi pr di pedalaman dengan tidak ketersediaan listrik . Penanggulangan nya masih tetap harus mengandalkan pemerintah maupun orang dengan kemampuan pengadaan listrik dengan pemanfaat an alam,5/27/2024 22:46,negative
@E2R,Gak cocok buat streaming game......,5/27/2024 22:41,negative
@romeojuliet5685,"Kalau perbulannya dibawah gopek, auto bangkrut ini provider lokal.",5/27/2024 22:38,negative
@E2R,Buka angkringan di gunung bisa nih..... ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,5/27/2024 22:35,neutral
@ahmad7620,"Starling itu sebetulnya penipuan, teknologi satelinya hayah untuk memantulkan jaringan yang di kirim dari hub2 di darat saja, bukan Internet Satelit, Internetnya tetap pake Jaringan Kabel Fiber Optik, kalo starling tidak mendirikan Hub di Indonesia, gabakalan ada itu strarling. Di Sebutnya Wifi berbentuk satelit, Indonesis jauh2 hari sudah punya teknologi ini, namanya satelit Orari, ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",5/27/2024 22:35,negative
@BangBong_,"pake sekampung aja,.. spoof 1 mac/device ID,...wkkwkwkw",5/27/2024 22:33,neutral
@UranusKotaTangerang,kalo kena hujan aman gk mas?,5/27/2024 22:31,positive
@luqmanwinata6532,Habis ini bang dapit langsung berhenti berlangganan internet fiber nya,5/27/2024 22:27,negative
@BengBeng-bv8et,"Paket harus ini sendiri ,atau beli kuota",5/27/2024 22:26,neutral
@heryhartanto9772,Plat merah ketat ketir cuan kaburrrðŸ˜‚,5/27/2024 22:16,negative
@raymontri7270,"""Internetnya Cepat Mau Dipakai buat Apa?""",5/27/2024 22:14,negative
@andreicarlos7275,Jd mata2 Amrik untuk baca semua kegiatan Maya kita hahaha,5/27/2024 22:00,positive
@peterlentera9287,1 antena bisa untuk lebih dari 1 router gk?,5/27/2024 21:50,neutral
@angsa8412,ElonðŸ«¡,5/27/2024 21:48,positive
@carmonachannel6417,Klo orang tidak mampu gimana mas...apalsgi masyaratk biassa..,5/27/2024 21:48,negative
@pengidk7137,Itu bisa dipake beberapa orang kah ? Apah cuman 1 hp ?,5/27/2024 21:47,neutral
@khsiebaad3176,Kalau gangguan gitu..komplen nya ke siapa?!,5/27/2024 21:45,negative
@nurulhuda9361,"Ini kalau buat download Sinetron Tukang Bubur Naik Haji, dari episode 1 sampai akhir, paling cuma butuh 10 menit doank, malah ngga nyampe, ðŸ˜…",5/27/2024 21:39,negative
@user-mv4wl7qg6b,"Satelitnya ribuan dilangit.kalo dilangit g ada y daerah teristorial negara?ky zee nya daerah laut gitu.jd semua bebas nempatin satelit kah. Enak yg punya dana kalo gitu y,",5/27/2024 21:36,positive
@muhamadromdoni5501,"Buat di Indonesia, sesuatu yang memudahkan banyak orang itu bakal dipersulitkan. Dari atas sampe ke bawah bisnisnya akal - akalan. Ga gentlemen.",5/27/2024 21:31,negative
@nafiswqofficial,Kalo aku lebih suka pakai injector ðŸ˜‚,5/27/2024 21:26,positive
@catatansicoy,Kalo hujan badai gmn sinyalnya bg?..,5/27/2024 21:19,negative
@rizkyaryprasetya9063,gini kalo untuk perusahaan yang otomatis device penggunaannya banyak ada paketnya sendiri kah ya?,5/27/2024 21:11,neutral
@puyang,"Waw jadi Elon kemarin ke Indo cuma promo product dia, keren tuh Ellon sebagai sales hahahaha mana free di jamu presiden, waw gila yah marketingnya Ellon hahahaha PHP lagi nih, 2- 0 buat ellon ðŸ¤£",5/27/2024 20:40,positive
@himbataruna1439,Elon musik ngeprank pemerintah indo. Bukan inves malah dagang,5/27/2024 20:29,negative
@bbwmelektrik8774,"dampak sinyal untuk bumi dan binatang gimana ya kira2, soalnya seluruh bumi sekarang akan ada tembakan sinyal dari atmospir, serius tanya",5/27/2024 20:28,neutral
@MuhammadFadlyB,Itu jarak brapa meter koneksi internet nya dri si starlink itu bang?,5/27/2024 20:14,neutral
@tamAlaw,Mantap,5/27/2024 20:08,positive
@ShafaElectric,Starlink ðŸ‘,5/27/2024 20:08,neutral
