author,description,pubdate,sentiment
@amandanabilar.a.333,bro provider id pikir mc elon musk,5/28/2024 4:26,neutral
@mohammadeffendy8241,btw biaya langgananya choy,5/28/2024 4:21,neutral
@NoerRohimSuprianto,beli alat negara konoha sudah borong calo calo jual harga tidak wajar wkwkwk,5/28/2024 4:21,negative
@alangyt,nemu video bahas device yng tampung ya,5/28/2024 4:14,neutral
@fadhila3604,pakai device ya bang minat banget  sekolah ngajar karna sinyal susah,5/28/2024 4:12,neutral
@denbagz3607,750rb bulan beli bang,5/28/2024 4:12,neutral
@gabutlucuanehshortganteng,saja fiber optik yang baik cocok yang tercover fiber optik,5/28/2024 4:11,positive
@anibong8286,saham telkom terjun ,5/28/2024 3:38,positive
@KaryaBaru-zt3br,periksa jangkau bang,5/28/2024 3:37,neutral
@user-uz9kq4nm5l,cba tes yang bener2 tidak towernya bng,5/28/2024 3:37,neutral
@Riyu_Ken,750kbulan unlimited,5/28/2024 3:32,neutral
@astaprasetya6137,cocok mudah2an beli daerah sy jateng sudah 5x ngajuin indigo direject alas odp box  jarak 250 meter,5/28/2024 3:31,positive
@manusiaBaja,agres id responsif tranfer dp po balas,5/28/2024 3:30,negative
@Unknown8938,sni tidak,5/28/2024 3:25,negative
@Masiwan,data aman,5/28/2024 3:22,neutral
@fahmiarifnurcahyanto_sdn012,portable seperti hape gede banget haha,5/28/2024 3:01,positive
@fahmiarifnurcahyanto_sdn012,coba liat deh jelas om ono purbo,5/28/2024 3:00,neutral
@andrekoto0948,platform indomie monopoli indonesia intropeksi datang masuk,5/28/2024 2:55,neutral
@MsiCyborg,hujan sinyal gimana bg,5/28/2024 2:40,negative
@NasirunAbbas-cx4iy,cocok ikn sdh rimbun pohon,5/28/2024 2:36,negative
@riamegawati876,gilaaa,5/28/2024 2:35,positive
@nocturnalboy3474,bagus telkomsel indihome jual mahal belit lapor rugi yasudah tutup saja masyarakat indonesia pake starlink saja biar tidak kambing hitam sebab rugi telkom bumn,5/28/2024 2:32,negative
@bimosunyo,cocok naruh gunung biar shareloct aman,5/28/2024 2:24,positive
@TilikumMolly,yang tinggal gunung starlink ganti akibat hadir negara layan internet adil yang puluh layan yang vital saing dunia yang buka duduk negeri status konsumen yang status usaha yang capai 5 total duduk prioritas lindung yang mayoritas gajah2 yang super gendut plus telkom angka jual sampe ratus triliun tahun catat 2023 telkom buku dapat konsolidasi rp 1492 triliun salah lindung telkom lindung singapura singapura salah pegang saham besar telkom,5/28/2024 2:19,negative
@tiojumadil5695,tunggu bg lu gunung coba starlink,5/28/2024 2:19,neutral
@tiojumadil5695,liat lu gunung,5/28/2024 2:20,negative
@sinarajifadli3294,tidak biaya bulan,5/28/2024 2:16,negative
@psbiouinril2923,beli power bank mana bang,5/28/2024 2:13,neutral
@gamingsantai1125,alhamdulillah 6 kabupaten instansi pakai starlink krn indihome sulit hubung masyarakat pasang indihome skrg tugas tidak muncul pdhl tiang untung starlink alih,5/28/2024 2:08,positive
@laluanggar3200,jika tau kabupaten bang,5/28/2024 20:02,neutral
@alexjonathanjonathan385,kadang indihome emng gitu suka dlu saja ancem putus2sin kabel orang biar dateng dateng,5/28/2024 21:57,negative
@cellviciy33s96,jarak jangkau meter dari parabola star link wifi rumah batas jarak pasang kebun sawit luas 30 hektare utk pasang kamera,5/28/2024 1:52,neutral
@HarryAbdilla,mantap thanks review  bang,5/28/2024 1:52,positive
@rendytubagus4825,coba pulau masalembu jaring listrik jadwal,5/28/2024 1:24,neutral
@martuaps1964,gegap gempita  boleh2 saja hrs pintar spy jgn jebak rekans jika tidak salah starlink sdh operate 2019 5 thn silah periksa jlh langgan aktif sd sdh brp info yang 1 juta dunia apkh kategori revolusioner turut  produk masuk kategori disruptive mari pintar seblm beli,5/28/2024 1:22,negative
@fathifathialbinsaid5353,jika hujan mendung sinyal drop  karna pancar sinyal tutup awan,5/28/2024 1:14,negative
@iyanvlog5027,pasang mobil ,5/28/2024 1:12,negative
@ekasafitri6208,tidak penasaran bongkar isi bang,5/28/2024 1:11,negative
@nurulfatchurochman8962,menit 78 keren,5/28/2024 1:08,positive
@yudha5110,incar maling,5/28/2024 1:07,negative
@AgFBI32a,jika pas banyak petir  kena samber tidak,5/28/2024 1:06,neutral
@ketutwidi5537,kerja remote rencana tua kampung halaman realistis  wkwk,5/28/2024 0:57,positive
@lioparura4638,tidak sewa ya seperti wifi indihome,5/28/2024 0:52,negative
@jumart5602,bagus ilangin kabelkabel semrawut,5/28/2024 0:50,positive
@mremonx7347,bulan brapa bayar bang,5/28/2024 0:47,negative
@metalmetal8383,tidak banding layan yang starlink murah cepat bebas biaya embel,5/28/2024 0:41,positive
@abdulsaprisagala9418,kirain main mobile legend 5 ms,5/28/2024 0:41,neutral
@metalmetal8383,mantap bang promosi biar pake starlink murah kepatan trusss,5/28/2024 0:38,positive
@darksmile6567,bang starlink tahan petir tidak bang,5/28/2024 0:38,neutral
@ahmadlambok1514,harga 8 samape 9 jt blum bulana,5/28/2024 0:31,neutral
@digigit,boong jika tidak listrik ya tidak nyala tetep butuh listrik jika kabel listrik kabel fo,5/28/2024 0:20,neutral
@bikhairaaswadi1167,yang utama sumber listrik,5/28/2024 0:19,neutral
@jarurn_7326,internet cepat,5/28/2024 0:11,negative
@TaniaLikayatmi,pakai device yah,5/28/2024 0:03,neutral
@awalpratama186,sudah yang review hutan kalimantan tidak ,5/27/2024 23:57,neutral
@admin9964,tingkat kualitas link kabel fo via radio tiga vsatsatelit starlink lai kualitas vsat gantung lokasi pohon gedung2 vsat rekomendasi halang pengaruh kualitas sinyal vsat hujan kualitas sinya turun,5/27/2024 23:48,negative
@eliaszega6575,ngakak 2154,5/27/2024 23:42,negative
@elshaarawy6670,mahal banget paket ya,5/27/2024 23:40,negative
@irawanfery3865,badai hujan mendung angin cang gmana ,5/27/2024 23:36,negative
@recarec,provider mana up to jika internet lambat tetep tidak salah lahir starlink,5/27/2024 23:31,neutral
@masykursani13,gsm garuk kepala ,5/27/2024 23:17,negative
@fazlyofficial8236,anti hujan kah bang,5/27/2024 23:05,positive
@sakafathi,tidak colok listrik gimana hutan tidak listrik,5/27/2024 23:02,negative
@bimo7008,coba tes bawa gunung kondisi cuaca burukbadai,5/27/2024 22:57,neutral
@AlditekimSkate,setup sinyal download aplikasi scan langit gada tower sinyal hp gimana tuh selesai setup kota bawa gunung hutan gitu beli daftar paket butuh koneksi,5/27/2024 22:53,neutral
@syaharanichan,sudah film hunter x hunter pas nonton,5/27/2024 22:53,neutral
@alstars.9200,starbucks keliling satelit keliling,5/27/2024 22:50,neutral
@Ezawidhy,pr dalam sedia listrik tanggulang  andal perintah orang mampu ada listrik manfaat an alam,5/27/2024 22:46,negative
@E2R,tidak cocok streaming game,5/27/2024 22:41,negative
@romeojuliet5685,bulan bawah gopek auto bangkrut provider lokal,5/27/2024 22:38,negative
@E2R,buka angkring gunung ,5/27/2024 22:35,neutral
@ahmad7620,starling tipu teknologi satelinya hayah pantul jaring kirim hub2 darat internet satelit internetnya pake jaring kabel fiber optik jika starling diri hub indonesia gabakalan strarling wifi bentuk satelit indonesis jauh2 teknologi nama satelit orari,5/27/2024 22:35,negative
@BangBong_,pake kampung saja spoof 1 macdevice idwkkwkwkw,5/27/2024 22:33,neutral
@UranusKotaTangerang,jika kena hujan aman tidak mas,5/27/2024 22:31,positive
@luqmanwinata6532,habis bang dapit langsung henti langgan internet fiber ,5/27/2024 22:27,negative
@BengBeng-bv8et,paket beli kuota,5/27/2024 22:26,neutral
@heryhartanto9772,plat merah ketat tir cuan kaburrr,5/27/2024 22:16,negative
@raymontri7270,internetnya cepat pakai,5/27/2024 22:14,negative
@andreicarlos7275,jadi mata2 amrik baca giat maya hahaha,5/27/2024 22:00,positive
@peterlentera9287,1 antena 1 router tidak,5/27/2024 21:50,neutral
@angsa8412,elon,5/27/2024 21:48,positive
@carmonachannel6417,jika orang gimana masapalsgi masyaratk biassa,5/27/2024 21:48,negative
@pengidk7137,dipake orang kah apah cuman 1 hp,5/27/2024 21:47,neutral
@khsiebaad3176,ganggu gitukomplen ,5/27/2024 21:45,negative
@nurulhuda9361,download sinetron tukang bubur haji episode 1 butuh 10 menit saja tidak nyampe,5/27/2024 21:39,negative
@user-mv4wl7qg6b,satelit ribu dilangitkalo langit g y daerah teristorial negaraky zee  daerah laut gitujd bebas nempatin satelit kah enak yang dana jika gitu y,5/27/2024 21:36,positive
@muhamadromdoni5501,indonesia mudah orang sulit sampe bisnis akal akal tidak gentlemen,5/27/2024 21:31,negative
@nafiswqofficial,jika suka pakai injector,5/27/2024 21:26,positive
@catatansicoy,jika hujan badai gmn sinyal bg,5/27/2024 21:19,negative
@rizkyaryprasetya9063,gini jika usaha otomatis device guna paket kah ya,5/27/2024 21:11,neutral
@puyang,waw elon kemarin indo promo product keren tuh ellon sales hahahaha free jamu presiden waw gila yah marketingnya ellon hahahaha php  2 0 ellon,5/27/2024 20:40,positive
@himbataruna1439,elon musik ngeprank perintah indo inves dagang,5/27/2024 20:29,negative
@bbwmelektrik8774,dampak sinyal bumi binatang gimana ya kira2 bumi tembak sinyal atmospir serius,5/27/2024 20:28,neutral
@MuhammadFadlyB,jarak brapa meter koneksi internet  dari  starlink bang,5/27/2024 20:14,neutral
@tamAlaw,mantap,5/27/2024 20:08,positive
@ShafaElectric,starlink,5/27/2024 20:08,neutral
@kumpulanpuisi1025,jujur  harga paket mahal sekolah2 pencil siswa yang seperti langgan minim budget operasional sekolah anda perangkat gadget aps yang komplit jangkau jaring satelit ya maybe puluh depan desain canggih,5/27/2024 20:02,positive
@uum5333,kepake laut jadi kapal2 pke,5/27/2024 19:59,neutral
@samuelsimatupang7499,hiden weapon senjata yang,5/27/2024 19:57,neutral
@imronman2082,nanya  bro yang pakeapakah batas maksimal  yang nyambung router batas maksimal ,5/27/2024 19:55,neutral
@asepsuandi4,umk saya tidak nyampe harga segitu,5/27/2024 19:44,negative
@asepsuandi4,radar tv tidak,5/27/2024 19:40,neutral
@kinaraprasetya2065,bangcoba jauhin 10 meter posisi starlink,5/27/2024 19:23,neutral
@zondor8123,elon pake tower tidak jaman bos pake satelit angkasa makan tuh yang percaya bumi datar,5/27/2024 19:19,negative
@SyaifulHudha-hq8gn,indonesia internet parah saja bandingankan malaysia singapore indonesia sudah mahal parah indo indo,5/27/2024 19:12,negative
@aidanaya856,elon musk dukung israel blokir internet palestina emusk alir jaring internet starlink jalur gaza khusus israel jaring satelit warga palestina unit satelit starlink operasi israel izin menteri komunikasi israel,5/27/2024 19:11,neutral
@user-nh3po8gs1p,bahaya jika kkb sampe beli starlinkk,5/27/2024 18:48,negative
@dwisutaryati6196,bayar biaya bulan tidak om,5/27/2024 18:42,neutral
@dwisutaryati6196,harga bang,5/27/2024 18:39,neutral
@jaslipendobrak8956,tidak recommended kelas tengah,5/27/2024 18:28,negative
@dumdum2241,coba bawa kamping hutan bang,5/27/2024 18:26,neutral
@DiraziFour,telkomse sudah orbit sayang paket super mahal coba disamain harga langgan wifi jadi andai daerah yang tidak tercover pakai orbit,5/27/2024 18:00,negative
@liliksaladin3,cocok bis biar gratis wifi an bener tidak khusus mobil pribadi banget wkwkwk,5/27/2024 17:59,positive
@user-hy2vt4go1d,selamat bg elontambah seperti raya,5/27/2024 17:57,positive
@asbastian,bang jangkauwan ya wifi,5/27/2024 15:31,negative
@raptor_jr1147,daki gunung mabar,5/27/2024 15:23,neutral
@user-st2zq8rv8z,pantes saham telkom turun ampe jurang gara2,5/27/2024 15:19,negative
@TahaneyAlHasna,keren banget terima kasih hibur yang manfaat,5/27/2024 15:14,positive
@amruzaki-fo5cu,ping mobile legendnya seperti wifi diwarkop bang,5/27/2024 14:42,negative
@hiburanlhos1859,cocok laut biar komunikasi orang rumah,5/27/2024 14:33,positive
@MuhammadRizky-ic2lc,kena hujan,5/27/2024 14:10,negative
@rosadirosadi-lc2io,bang data aman nga mohon,5/27/2024 13:46,neutral
@kijomenggolo,hujan sinyal lancar,5/27/2024 13:28,neutral
@aprianorizqha2488,more spying tools for cia and nsa after google,5/27/2024 13:28,neutral
@vian_adam,solusi kurang tiang kabel inet tebar,5/27/2024 13:23,neutral
@ind-fact703,keren,5/27/2024 13:10,positive
@TopGlobal_hanabi,pindah haluan telkomsel telepon sms an saja,5/27/2024 13:05,neutral
@BintangJr-od9es,kucingapakah wifcat coin,5/27/2024 13:04,neutral
@hadiofficial87,laut asik,5/27/2024 12:58,positive
@andysiadari,aman sambar petir tidak ya depok sudah seperti ladang petir,5/27/2024 12:44,positive
@toherful,solusi semoga fiber optik ter sebar daerah 3t biar interne murah,5/27/2024 12:26,neutral
@hoerulanam4685,coba bang goa gimana tuh,5/27/2024 12:01,negative
@rudyghendiarta242,langit indah kabel semerawut wkwk,5/27/2024 11:52,positive
@muhammadsaepulloh4801,terima kasih informasi,5/27/2024 11:51,positive
@sahabatakhirzaman9055,lemah  hujan turun drastis speed ,5/27/2024 11:44,negative
@masdimas5961,bang power bank yang lu gunain pake bang plis bales bang,5/27/2024 11:30,neutral
@honeynezsonia1347,sharing max brp client bang info,5/27/2024 11:26,neutral
@agileee__,tes,5/27/2024 11:08,neutral
@novietasarie4293,,5/27/2024 11:04,positive
@fikryarika6209,jarak coverage wifi routernya gmna bg lupa review mumpung lapang kosong gitu ngejauh router  jika 30m ya tidak dipake kampung,5/27/2024 11:03,negative
@user-zm8dq7nm6q,bang wifi ya perangkat td abang bilang mabar ml starlink id orang mksh bang jelas,5/27/2024 10:59,neutral
@ManjadoKiper,beli  masuk hutan kalimantan susah sinyal pelosok pelosok simple kali mabar hutan,5/27/2024 10:54,negative
@aditiaputrakurniawan7173,tidak cocok konten kreator yang pake cloud butuh cloud bayangin upload file 5 sampe 10 gb butuh menit kl nikmat saja sudah lebih2 download jenis sudah lebih2 main game ping  30 ms an jadi siap2 kalah deh,5/27/2024 10:51,negative
@Renalcs,good,5/27/2024 10:50,positive
@TocaToca-ht8uv,pantes pas elon musk bal manuk panik,5/27/2024 10:49,negative
@radardragrace8669,gas pindah starlink biar provider ketar tir,5/27/2024 10:40,negative
@crazyyyoo3535, coba dalam kalimantan sulawesi bang jika seperti gtu mah its ok saja sinyal  saran,5/27/2024 10:35,neutral
@Nurhayati-dc9we,ngapain anjay jauhlagian star link sudah 100 jaring yang hadap langit,5/28/2024 2:15,negative
@pebrihardianto161,jangkauanya meter bang ruter jika 50meter ok  35 rumah wkwkw,5/27/2024 10:34,positive
@aldynessie2058,bulan bayar 750 rb ya,5/27/2024 10:32,neutral
@ayubtjandra,dibatesin seperti dimanfaatin tahu pake fitur hotspotnya windows,5/27/2024 10:25,positive
@si_omblo,masa bentuk starlink kartu simcard ujung harga paket ya harga kualitas mayoritas indonesia ken murah kualitas hmmm,5/27/2024 10:24,positive
@tommyandhika7537,papua pake tidak,5/27/2024 10:22,neutral
@aqmaeuww-1731,bro langgan tidak,5/27/2024 10:14,neutral
@jinkoplak,tidak bayar mamak kaw kaw ajar saja sampe pinter komentar,5/27/2024 11:22,negative
@abduello_rozzacco,sadar bahas bahas internet satelitkaum bumi datar bingung,5/27/2024 10:10,negative
@jericarlone,asli  revolusioner ubah dunia khusus  indonesia yang skrg bantu manfaat buat provider ketarketir ubah,5/27/2024 10:10,negative
@petaniamatiran5732,sori bang tidak ngudeng bayar bulan jika beli,5/27/2024 10:08,negative
@jinkoplak,astagah ya,5/27/2024 11:23,negative
@fazrialif4528,yang ken starlink patungan saja 20 orang 750 bulan orang 35rb,5/27/2024 9:55,neutral
@liarachmawanty2979,jika truh atap aman dari petir tidak ya posisi ktnya hrs hadap langit tidak blh halang apa2,5/27/2024 9:54,positive
@setpag,starbak kelilink,5/27/2024 9:52,positive
@SUMBER_AGUNG,jujur harga langgan sgt lihat cepat uploadnya rada kecewa dikit ,5/27/2024 9:49,negative
@tinjaulok9427,pas ngedaftar email pake internet starlink langsung atao pake internet external yah,5/27/2024 9:49,neutral
@karapaiy,tidak rawan maling bg,5/27/2024 9:49,negative
@guerhafi,50 is coming baby,5/27/2024 9:46,neutral
@user-kc9pv3lk4h,karna device penasaran jika diidupin panas tidak,5/27/2024 9:44,negative
@wahyuseno449,jangkau sinyal meter alat,5/27/2024 9:44,neutral
@Cahyono_berkelana,no cost seperti bts fo gila  guna banget dalam,5/27/2024 9:37,negative
@alfiyah876,max brp yang connect bang biar dblokir,5/27/2024 9:28,neutral
@galihrifaldi6597,radius pancar sinyal brp meter ya,5/27/2024 9:17,neutral
@uchiha0094_,bgus nii dibawain dalam hutan kebun sawit biar internetan,5/27/2024 9:17,negative
@amirchoirudin1538,nunggu harga 300rbbln,5/27/2024 9:02,neutral
@aldomodam1634,bang coba test hutan tutup pohon,5/27/2024 9:01,neutral
@insialb3291,cocok haji,5/27/2024 8:57,positive
@R_Seven11,semoga depan paket yang 100ribuan wlopun limit mbps unlimitedsoalnya kalang tengah bawah mahal 750rb bulan,5/27/2024 8:55,neutral
@destiawanferi5201,jangkau routernya bs akomodasi smpe brpa meter bang,5/27/2024 8:50,neutral
@johns.yarangga8185,jabat jhony plate cs koruptor baik,5/27/2024 8:50,negative
@alter_id617,banget indonesia kondisi geografis negara cocok pakai starlink banget jika perintah buat regulasi dukung starlink,5/27/2024 8:48,positive
